category,site,patient_id,slice_id,model,selection_method,selection_reason,score_grid,gt_pixels,pred_pixels,dice,iou,sensitivity,precision,tp,fp,fn,source_type,source_path,source_sha256,kind,manifest,checkpoint_path,checkpoint_sha256,provenance_status
Easy,Singapore,65,15,unet,GT-only deterministic,Low fragmentation / high burden proxy,1024x1024,15224,1404,0.16887178254048066,0.09222280610160127,0.09222280610160127,1.0,1404,0,13820,new_inference,/content/drive/MyDrive/WMH_MedSAM_Project/results/qualitative/final_supplementary_v1/selected_logits/unet_Singapore_65_015.npz,a6d4c373651d87c1f4a58ab60539bffd6120b0517b0ef78b21d33a5fedfaa5d7,logits,,/content/drive/MyDrive/WMH_MedSAM_Project/unet_baseline/checkpoints/best_unet_wmh.pth,f15b78c13d7e18d93150148a3e3c7509340feb6a67ac3f20ce824da2799c1aba,strict checkpoint load; inputs hashed
Easy,Singapore,65,15,frozen,GT-only deterministic,Low fragmentation / high burden proxy,1024x1024,15224,7521,0.549483402947683,0.3788191076662292,0.41047031004065637,0.8308735540509125,6249,1272,8975,new_inference,/content/drive/MyDrive/WMH_MedSAM_Project/results/qualitative/final_supplementary_v1/selected_logits/frozen_Singapore_65_015.npz,8c264ce814849a2ea2225f824eb728a220a91c7fd7d833a763ebdc6db6f95979,logits,,/content/drive/MyDrive/WMH_MedSAM_Project/results/ablation/frozen/a100_frozen_run004/checkpoints/best_lora_wmh.pth,704c757e7243ba5568cd678021a8d6cd14320422a7c7468d76381bf97310888c,strict checkpoint load; inputs hashed
Easy,Singapore,65,15,lora_r4,GT-only deterministic,Low fragmentation / high burden proxy,1024x1024,15224,1595,0.18966644866407237,0.10476878613304802,0.10476878613304802,1.0,1595,0,13629,saved_prediction,/content/drive/MyDrive/WMH_MedSAM_Project/benchmark_runs/unet_vs_medsam_002/logits/medsam/0373_Singapore_65_015.npz,9805a236c2ec1db1b3dc4a8c44d036ca785ef854ad3ffd30d89b9df9609cbf87,logits,/content/drive/MyDrive/WMH_MedSAM_Project/benchmark_runs/unet_vs_medsam_002/configs/medsam_cache_index.csv,,,legacy provenance unverified
Easy,Singapore,65,15,lora_r8,GT-only deterministic,Low fragmentation / high burden proxy,1024x1024,15224,1564,0.18632356445564494,0.10273252759391269,0.10273252759391269,1.0,1564,0,13660,new_inference,/content/drive/MyDrive/WMH_MedSAM_Project/results/qualitative/final_supplementary_v1/selected_logits/lora_r8_Singapore_65_015.npz,34e33954ad4c777fb95f86f92b7c0a467f0fff133588254acd11dc1ce16a4c14,logits,,/content/drive/MyDrive/WMH_MedSAM_Project/results/ablation/lora_r8/a100_r8_run002/checkpoints/best_lora_wmh.pth,4580db9dd3eb6bb0e312032c8ab6d0d2e83b29b6981658f8f88143cbb3fb46cf,strict checkpoint load; inputs hashed
Medium,Utrecht,21,17,unet,GT-only deterministic,Closest to median burden and fragmentation,1024x1024,1458,2872,0.6443418013938951,0.4752981260826134,0.9567901234597538,0.4857242340011935,1395,1477,63,new_inference,/content/drive/MyDrive/WMH_MedSAM_Project/results/qualitative/final_supplementary_v1/selected_logits/unet_Utrecht_21_017.npz,363d7e625748cb82594d048cc267dae19bacd177288c6b3f642d2808eeae8a3b,logits,,/content/drive/MyDrive/WMH_MedSAM_Project/unet_baseline/checkpoints/best_unet_wmh.pth,f15b78c13d7e18d93150148a3e3c7509340feb6a67ac3f20ce824da2799c1aba,strict checkpoint load; inputs hashed
Medium,Utrecht,21,17,frozen,GT-only deterministic,Closest to median burden and fragmentation,1024x1024,1458,9671,0.07152484500789356,0.03708880813496329,0.27297668043395223,0.041153965473672276,398,9273,1060,new_inference,/content/drive/MyDrive/WMH_MedSAM_Project/results/qualitative/final_supplementary_v1/selected_logits/frozen_Utrecht_21_017.npz,274e4988391ec2ebacfd860f5f01ff5e446ee38db90cf10349770d539bcdd6a2,logits,,/content/drive/MyDrive/WMH_MedSAM_Project/results/ablation/frozen/a100_frozen_run004/checkpoints/best_lora_wmh.pth,704c757e7243ba5568cd678021a8d6cd14320422a7c7468d76381bf97310888c,strict checkpoint load; inputs hashed
Medium,Utrecht,21,17,lora_r4,GT-only deterministic,Closest to median burden and fragmentation,1024x1024,1458,1708,0.807959570441947,0.6777954425183998,0.8772290809412051,0.7488290398273519,1279,429,179,saved_prediction,/content/drive/MyDrive/WMH_MedSAM_Project/benchmark_runs/unet_vs_medsam_002/logits/medsam/0423_Utrecht_21_017.npz,2e1386dc90a651d7a2a1bba7e767724c5e91158eacb48bd99624f3859f92cbcb,logits,/content/drive/MyDrive/WMH_MedSAM_Project/benchmark_runs/unet_vs_medsam_002/configs/medsam_cache_index.csv,,,legacy provenance unverified
Medium,Utrecht,21,17,lora_r8,GT-only deterministic,Closest to median burden and fragmentation,1024x1024,1458,1730,0.7986198243475966,0.6647519582420495,0.8731138546040388,0.7358381503042868,1273,457,185,new_inference,/content/drive/MyDrive/WMH_MedSAM_Project/results/qualitative/final_supplementary_v1/selected_logits/lora_r8_Utrecht_21_017.npz,8e9e3321a63117ca18c8bd27a0b5b692fe6ff66853e20380e79572196bfe6c2f,logits,,/content/drive/MyDrive/WMH_MedSAM_Project/results/ablation/lora_r8/a100_r8_run002/checkpoints/best_lora_wmh.pth,4580db9dd3eb6bb0e312032c8ab6d0d2e83b29b6981658f8f88143cbb3fb46cf,strict checkpoint load; inputs hashed
Difficult,Amsterdam,137,53,unet,GT-only deterministic,High fragmentation / low burden proxy,1024x1024,1952,3078,0.6838966202846144,0.519637462250162,0.8811475409896953,0.5588044184678752,1720,1358,232,new_inference,/content/drive/MyDrive/WMH_MedSAM_Project/results/qualitative/final_supplementary_v1/selected_logits/unet_Amsterdam_137_053.npz,f7849822c714cf34764584f6a2cb51a040a3c53224755edd32046ccbface0890,logits,,/content/drive/MyDrive/WMH_MedSAM_Project/unet_baseline/checkpoints/best_unet_wmh.pth,f15b78c13d7e18d93150148a3e3c7509340feb6a67ac3f20ce824da2799c1aba,strict checkpoint load; inputs hashed
Difficult,Amsterdam,137,53,frozen,GT-only deterministic,High fragmentation / low burden proxy,1024x1024,1952,107591,0.01351067617372766,0.006801283053769839,0.37909836068754615,0.006877898709922876,740,106851,1212,new_inference,/content/drive/MyDrive/WMH_MedSAM_Project/results/qualitative/final_supplementary_v1/selected_logits/frozen_Amsterdam_137_053.npz,33342e833cf8822d93dfad0a6c0caea0ec2d84d05493760c5cee4dee37478ea4,logits,,/content/drive/MyDrive/WMH_MedSAM_Project/results/ablation/frozen/a100_frozen_run004/checkpoints/best_lora_wmh.pth,704c757e7243ba5568cd678021a8d6cd14320422a7c7468d76381bf97310888c,strict checkpoint load; inputs hashed
